NumericIndex,ShortNameIndex,LongNameIndex,Row,Col,Dose,CellType,nc_ratio,log2_nc_ratio,baseline_log2,log2_fold_change
1,A1,A01,A,1,-7.0,MCF7,1.7029871215045023,0.7680675249683983,0.021158123306008945,0.7469094016623893
2,A2,A02,A,2,-7.523,MCF7,1.683269509005139,0.7512661856853988,0.021158123306008945,0.7301080623793899
3,A3,A03,A,3,-8.0,MCF7,1.6861597580641208,0.7537412333427428,0.021158123306008945,0.7325831100367338
4,A4,A04,A,4,-8.523,MCF7,1.5366886254803347,0.6198248657546505,0.021158123306008945,0.5986667424486415
5,A5,A05,A,5,-9.0,MCF7,1.432135008454552,0.5181675029699975,0.021158123306008945,0.4970093796639885
6,A6,A06,A,6,-9.523,MCF7,1.2448913316306596,0.3160198128476356,0.021158123306008945,0.2948616895416266
7,A7,A07,A,7,-10.0,MCF7,1.0685004639728124,0.09558753445643264,0.021158123306008945,0.0744294111504237
8,A8,A08,A,8,-10.523,MCF7,0.9735701342853811,-0.03864318297710078,0.021158123306008945,-0.05980130628310973
9,A9,A09,A,9,-11.0,MCF7,0.92156813814788,-0.1178372562871037,0.021158123306008945,-0.13899537959311264
10,A10,A10,A,10,-11.523,MCF7,0.9137282442946648,-0.1301629437230838,0.021158123306008945,-0.15132106702909273
11,A11,A11,A,11,-12.0,MCF7,0.9344896561470643,-0.09774939999978097,0.021158123306008945,-0.11890752330578991
12,A12,A12,A,12,-13.0,MCF7,1.0153252493073237,0.021941954402804126,0.021158123306008945,0.0007838310967951817
13,B1,B01,B,1,-7.0,MCF7,1.4284306268434865,0.5144309720536475,0.021158123306008945,0.49327284874763855
14,B2,B02,B,2,-7.523,MCF7,1.7208749776036272,0.783142288695349,0.021158123306008945,0.76198416538934
15,B3,B03,B,3,-8.0,MCF7,1.634056016053951,0.7084574404591538,0.021158123306008945,0.6872993171531449
16,B4,B04,B,4,-8.523,MCF7,1.5652919456787033,0.6464317621432462,0.021158123306008945,0.6252736388372372
17,B5,B05,B,5,-9.0,MCF7,1.5034522253513536,0.5882790246503521,0.021158123306008945,0.5671209013443431
18,B6,B06,B,6,-9.523,MCF7,1.2502842306001232,0.3222561040584913,0.021158123306008945,0.30109798075248234
19,B7,B07,B,7,-10.0,MCF7,1.0494294607600971,0.06960519661412647,0.021158123306008945,0.048447073308117525
20,B8,B08,B,8,-10.523,MCF7,0.9379733864405062,-0.09238110583007957,0.021158123306008945,-0.11353922913608851
21,B9,B09,B,9,-11.0,MCF7,0.8932694627287453,-0.16283265201429487,0.021158123306008945,-0.1839907753203038
